MISSION_NAME,LAUNCH_DATE,LAUNCH_SITE,SUCCESS,AGENCY,MISSION_TYPE
Quality-focused intangible protocol,1970-01-01,Castrobury,True,ISRO,Unmanned
Switchable zero administration secured line,1970-01-01,Port Robin,True,ISRO,Unmanned
Profound value-added protocol,1970-01-01,South Chaseland,True,ISRO,Manned
Persistent non-volatile definition,1970-01-01,Riversfurt,True,ISRO,Unmanned
Team-oriented value-added hierarchy,1970-01-01,South Robertview,True,ISRO,Manned
Fully-configurable value-added utilization,1970-01-01,South David,True,ISRO,Unmanned
Down-sized transitional adapter,1970-01-01,Joshuahaven,True,ISRO,Unmanned
Diverse executive benchmark,1970-01-01,Chadview,True,ISRO,Unmanned
Decentralized 6thgeneration alliance,1970-01-01,Connorland,True,ISRO,Manned
Customer-focused asynchronous info-mediaries,1970-01-01,North Nicole,True,ISRO,Manned
User-friendly needs-based throughput,1970-01-01,East Matthew,True,ISRO,Manned
Organized bi-directional budgetary management,1970-01-01,Patrickview,True,ISRO,Manned
Universal interactive ability,1970-01-01,Randolphshire,True,ISRO,Unmanned
Multi-lateral uniform help-desk,1970-01-01,South Jimmy,True,ISRO,Unmanned
Compatible coherent alliance,1970-01-01,Carterberg,True,ISRO,Manned
Fully-configurable bi-directional approach,1970-01-01,South Susanmouth,True,ISRO,Manned
Virtual even-keeled hardware,1970-01-01,South Brian,True,ISRO,Manned
Seamless contextually-based matrices,1970-01-01,Shaffershire,True,ISRO,Manned
Phased context-sensitive service-desk,1970-01-01,Jennaport,True,ISRO,Manned
Mandatory full-range focus group,1970-01-01,East Omarview,True,ISRO,Unmanned
Advanced radical functionalities,1970-01-01,Josephfurt,True,ISRO,Manned
Secured stable conglomeration,1970-01-01,Stuarthaven,True,ISRO,Unmanned
User-centric discrete forecast,1970-01-01,Jessicafurt,True,ISRO,Manned
Upgradable heuristic budgetary management,1970-01-01,Lake Ricardo,True,ISRO,Manned
Open-source needs-based interface,1970-01-01,Penningtonborough,True,ISRO,Manned
Managed context-sensitive core,1970-01-01,New Daniel,True,ISRO,Manned
Networked bandwidth-monitored approach,1970-01-01,Gregoryhaven,True,ISRO,Unmanned
Reduced 4thgeneration adapter,1970-01-01,South Laura,True,ISRO,Unmanned
Profit-focused non-volatile analyzer,1970-01-01,West Elizabeth,True,ISRO,Unmanned
Inverse cohesive conglomeration,1970-01-01,Kellerville,True,ISRO,Unmanned
Multi-channeled system-worthy collaboration,1970-01-01,Lake Nicholasmouth,True,ISRO,Unmanned
Polarized discrete artificial intelligence,1970-01-01,East Cindyfort,True,ISRO,Manned
Diverse fault-tolerant Local Area Network,1970-01-01,Crosbyberg,True,ISRO,Unmanned
Reverse-engineered static hub,1970-01-01,North Michaelbury,True,ISRO,Unmanned
Total homogeneous software,1970-01-01,Stacymouth,True,ISRO,Unmanned
Fully-configurable web-enabled extranet,1970-01-01,Garyshire,True,ISRO,Manned
Up-sized interactive synergy,1970-01-01,Luisport,True,ISRO,Unmanned
Re-engineered radical policy,1970-01-01,New Harry,True,ISRO,Unmanned
Multi-tiered multi-state matrix,1970-01-01,Joelview,True,ISRO,Unmanned
Optimized asynchronous collaboration,1970-01-01,South Donaldfort,True,ISRO,Manned
User-centric transitional orchestration,1970-01-01,North Edward,True,ISRO,Manned
Reduced incremental moratorium,1970-01-01,Robertville,True,ISRO,Manned
Horizontal tertiary Local Area Network,1970-01-01,North Nathan,True,ISRO,Unmanned
Progressive incremental core,1970-01-01,Flowersview,True,ISRO,Unmanned
Phased non-volatile utilization,1970-01-01,Brianastad,True,ISRO,Manned
Realigned client-driven moratorium,1970-01-01,Simpsonshire,True,ISRO,Manned
Persistent uniform superstructure,1970-01-01,North Valerie,True,ISRO,Manned
Quality-focused uniform benchmark,1970-01-01,New Elizabeth,True,ISRO,Manned
Function-based value-added alliance,1970-01-01,Sarahport,True,ISRO,Manned
Multi-tiered encompassing flexibility,1970-01-01,Garciaburgh,True,ISRO,Unmanned
Optimized encompassing paradigm,1970-01-01,Patrickmouth,True,ISRO,Manned
Assimilated disintermediate software,1970-01-01,Mooreview,True,ISRO,Unmanned
Operative coherent customer loyalty,1970-01-01,Andrealand,True,ISRO,Unmanned
Organized transitional core,1970-01-01,North Harold,True,ISRO,Unmanned
Profit-focused asymmetric projection,1970-01-01,Lake Julia,True,ISRO,Manned
Universal explicit synergy,1970-01-01,Ashleymouth,True,ISRO,Unmanned
Up-sized encompassing concept,1970-01-01,Lake Daniel,True,ISRO,Manned
Future-proofed system-worthy extranet,1970-01-01,Lake Jamie,True,ISRO,Manned
Switchable scalable service-desk,1970-01-01,Baileyland,True,ISRO,Manned
Mandatory grid-enabled orchestration,1970-01-01,North Luischester,True,ISRO,Manned
Pre-emptive multi-tasking Graphical User Interface,1970-01-01,Stephaniestad,True,ISRO,Manned
Assimilated coherent task-force,1970-01-01,Port Anaburgh,True,ISRO,Manned
Cross-platform secondary leverage,1970-01-01,West Shanetown,True,ISRO,Manned
Customer-focused object-oriented software,1970-01-01,West Stevenfort,True,ISRO,Unmanned
Future-proofed bifurcated pricing structure,1970-01-01,Port Andreafurt,True,ISRO,Manned
Optimized encompassing Graphical User Interface,1970-01-01,West Jamesside,True,ISRO,Manned
Switchable impactful pricing structure,1970-01-01,Port Catherineland,True,ISRO,Manned
Reverse-engineered secondary solution,1970-01-01,South Jessica,True,ISRO,Manned
Team-oriented asymmetric contingency,1970-01-01,North Michaelville,True,ISRO,Manned
Horizontal client-driven access,1970-01-01,Norrisburgh,True,ISRO,Manned
Diverse exuding open system,1970-01-01,Pricehaven,True,ISRO,Manned
Vision-oriented 6thgeneration alliance,1970-01-01,Patelbury,True,ISRO,Unmanned
Self-enabling empowering paradigm,1970-01-01,Taylorchester,True,ISRO,Unmanned
Profit-focused fresh-thinking secured line,1970-01-01,Olsenview,True,ISRO,Manned
Multi-channeled 5thgeneration policy,1970-01-01,East Steven,True,ISRO,Manned
Open-source 6thgeneration extranet,1970-01-01,Garciaborough,True,ISRO,Unmanned
Mandatory grid-enabled concept,1970-01-01,Lake Taylorfurt,True,ISRO,Unmanned
Diverse modular capacity,1970-01-01,Lake Jose,True,ISRO,Manned
Managed stable Graphic Interface,1970-01-01,Lake Deborahborough,True,ISRO,Unmanned
Intuitive discrete pricing structure,1970-01-01,Kimville,True,ISRO,Manned
Diverse high-level orchestration,1970-01-01,North Davidhaven,True,ISRO,Unmanned
Total object-oriented budgetary management,1970-01-01,North Edward,True,ISRO,Manned
Optimized zero administration encoding,1970-01-01,Anthonytown,True,ISRO,Manned
Reduced stable hardware,1970-01-01,Nguyenside,True,ISRO,Manned
Multi-lateral executive firmware,1970-01-01,New Sarah,True,ISRO,Manned
Cloned attitude-oriented moderator,1970-01-01,Beckyview,True,ISRO,Unmanned
Re-engineered value-added software,1970-01-01,Emilyburgh,True,ISRO,Unmanned
Public-key zero-defect complexity,1970-01-01,South Alexander,True,ISRO,Unmanned
Fundamental disintermediate framework,1970-01-01,North Josephside,True,ISRO,Unmanned
Switchable scalable ability,1970-01-01,North James,True,ISRO,Manned
Public-key cohesive encryption,1970-01-01,Edwardburgh,True,ISRO,Manned
Centralized multimedia ability,1970-01-01,Lake Debbie,True,ISRO,Unmanned
Visionary uniform data-warehouse,1970-01-01,Port Tracyberg,True,ISRO,Manned
Enhanced responsive capacity,1970-01-01,New Eric,True,ISRO,Unmanned
Grass-roots optimizing initiative,1970-01-01,Smithville,True,ISRO,Manned
Progressive stable function,1970-01-01,Port Summer,True,ISRO,Unmanned
Cross-group directional help-desk,1970-01-01,Ellisonchester,True,ISRO,Unmanned
Visionary national flexibility,1970-01-01,Burtonland,True,ISRO,Manned
Cross-platform directional knowledgebase,1970-01-01,Port Scottstad,True,ISRO,Manned
Visionary holistic groupware,1970-01-01,East Justin,True,ISRO,Unmanned
Stand-alone mission-critical pricing structure,1970-01-01,Christinafort,True,ISRO,Manned
Multi-layered secondary hub,1970-01-01,South James,True,ISRO,Unmanned
Inverse analyzing success,1970-01-01,Bruceberg,True,ISRO,Unmanned
Polarized context-sensitive artificial intelligence,1970-01-01,New Stevenshire,True,ISRO,Unmanned
Configurable leadingedge middleware,1970-01-01,Beanfurt,True,ISRO,Unmanned
Business-focused high-level migration,1970-01-01,Burtonmouth,True,ISRO,Unmanned
Configurable explicit architecture,1970-01-01,New Mariaport,True,ISRO,Unmanned
Inverse high-level software,1970-01-01,Wilsonborough,True,ISRO,Manned
Optional reciprocal methodology,1970-01-01,Millerland,True,ISRO,Unmanned
Switchable upward-trending encoding,1970-01-01,Port Tarafort,True,ISRO,Unmanned
Multi-lateral full-range alliance,1970-01-01,New Lisa,True,ISRO,Unmanned
Networked interactive core,1970-01-01,New Richardton,True,ISRO,Unmanned
Implemented local workforce,1970-01-01,Garciachester,True,ISRO,Manned
Future-proofed high-level throughput,1970-01-01,Stephenston,True,ISRO,Manned
Devolved coherent capability,1970-01-01,Williamsport,True,ISRO,Manned
Universal cohesive website,1970-01-01,Tinastad,True,ISRO,Unmanned
Public-key bottom-line success,1970-01-01,Belltown,True,ISRO,Manned
Switchable leadingedge ability,1970-01-01,Collierview,True,ISRO,Unmanned
User-friendly tangible focus group,1970-01-01,Port Danielberg,True,ISRO,Unmanned
Optimized fault-tolerant adapter,1970-01-01,West Jeffreyport,True,ISRO,Unmanned
Grass-roots contextually-based database,1970-01-01,Grahamland,True,ISRO,Manned
Total leadingedge orchestration,1970-01-01,South Nicholas,True,ISRO,Unmanned
Optional holistic productivity,1970-01-01,South Dennismouth,True,ISRO,Manned
Optional local capacity,1970-01-01,West Tammy,True,ISRO,Manned
Future-proofed fault-tolerant orchestration,1970-01-01,Carrieland,True,ISRO,Manned
Organic object-oriented interface,1970-01-01,Lake Wendymouth,True,ISRO,Manned
Automated asynchronous emulation,1970-01-01,Lake Austin,True,ISRO,Unmanned
Total 5thgeneration conglomeration,1970-01-01,Port Justinbury,True,ISRO,Unmanned
Face-to-face 24hour open system,1970-01-01,East John,True,ISRO,Unmanned
Mandatory eco-centric matrix,1970-01-01,Stephenland,True,ISRO,Manned
Public-key hybrid hub,1970-01-01,Scottstad,True,ISRO,Unmanned
Cross-group next generation alliance,1970-01-01,Eileenview,True,ISRO,Unmanned
Networked composite encryption,1970-01-01,Ricktown,True,ISRO,Manned
Stand-alone systemic knowledge user,1970-01-01,North Susan,True,ISRO,Unmanned
Focused user-facing archive,1970-01-01,Michaelfurt,True,ISRO,Manned
Focused next generation approach,1970-01-01,Quinnberg,True,ISRO,Unmanned
Expanded neutral strategy,1970-01-01,South Olivia,True,ISRO,Unmanned
Multi-tiered systemic archive,1970-01-01,East Travisfort,True,ISRO,Manned
User-friendly background core,1970-01-01,Sarahmouth,True,ISRO,Unmanned
Extended real-time hierarchy,1970-01-01,New Maryfurt,True,ISRO,Manned
Persevering well-modulated function,1970-01-01,Perezview,True,ISRO,Unmanned
Self-enabling demand-driven system engine,1970-01-01,Tatestad,True,ISRO,Manned
Vision-oriented zero tolerance leverage,1970-01-01,Royside,True,ISRO,Unmanned
Fully-configurable client-server service-desk,1970-01-01,Benjaminborough,True,ISRO,Unmanned
De-engineered system-worthy throughput,1970-01-01,Davisside,True,ISRO,Manned
Reduced empowering system engine,1970-01-01,Port Dylanville,True,ISRO,Unmanned
Digitized content-based Internet solution,1970-01-01,East Donna,True,ISRO,Unmanned
Right-sized zero-defect emulation,1970-01-01,Benjaminhaven,True,ISRO,Manned
Advanced mobile installation,1970-01-01,South John,True,ISRO,Manned
Configurable solution-oriented product,1970-01-01,North Dylan,True,ISRO,Unmanned
Polarized impactful moratorium,1970-01-01,Nunezhaven,True,ISRO,Manned
Innovative tertiary structure,1970-01-01,Lake Brendanmouth,True,ISRO,Manned
Adaptive tangible installation,1970-01-01,North Tinaburgh,True,ISRO,Manned
Synergized user-facing emulation,1970-01-01,Robertsshire,True,ISRO,Unmanned
Assimilated client-driven functionalities,1970-01-01,South Tony,True,ISRO,Unmanned
Digitized composite pricing structure,1970-01-01,Zamorastad,True,ISRO,Unmanned
Synchronized disintermediate function,1970-01-01,Villanuevaton,True,ISRO,Manned
Phased systemic matrices,1970-01-01,Gregoryshire,True,ISRO,Manned
User-centric encompassing interface,1970-01-01,Jenniferchester,True,ISRO,Manned
Customer-focused 4thgeneration projection,1970-01-01,Port Charlotte,True,ISRO,Unmanned
Mandatory background toolset,1970-01-01,Wellsfurt,True,ISRO,Manned
Persistent dynamic Internet solution,1970-01-01,South Johnborough,True,ISRO,Manned
Synergistic impactful synergy,1970-01-01,Mariahshire,True,ISRO,Manned
Multi-lateral bifurcated complexity,1970-01-01,South Richard,True,ISRO,Unmanned
Proactive content-based matrix,1970-01-01,Autumnfurt,True,ISRO,Manned
Balanced dynamic implementation,1970-01-01,Stephenport,True,ISRO,Manned
Operative actuating process improvement,1970-01-01,Jenniferside,True,ISRO,Unmanned
Visionary grid-enabled task-force,1970-01-01,Amyton,True,ISRO,Manned
Synchronized dedicated contingency,1970-01-01,New Cindy,True,ISRO,Manned
Organic high-level hardware,1970-01-01,Allisonburgh,True,ISRO,Unmanned
Switchable solution-oriented Internet solution,1970-01-01,Skinnerburgh,True,ISRO,Unmanned
Cross-platform homogeneous info-mediaries,1970-01-01,West Josephmouth,True,ISRO,Unmanned
Operative value-added budgetary management,1970-01-01,Smithfurt,True,ISRO,Unmanned
Intuitive human-resource Local Area Network,1970-01-01,Sanchezmouth,True,ISRO,Unmanned
Business-focused eco-centric groupware,1970-01-01,Carpenterside,True,ISRO,Manned
Open-architected systemic solution,1970-01-01,Wagnerton,True,ISRO,Unmanned
Mandatory user-facing knowledgebase,1970-01-01,Lukeview,True,ISRO,Unmanned
Team-oriented radical projection,1970-01-01,Millerview,True,ISRO,Manned
Enterprise-wide hybrid budgetary management,1970-01-01,Joannaland,True,ISRO,Manned
Customizable regional support,1970-01-01,New Michaelhaven,True,ISRO,Unmanned
Phased clear-thinking firmware,1970-01-01,Port Troyville,True,ISRO,Manned
Focused needs-based algorithm,1970-01-01,Nguyenfurt,True,ISRO,Manned
Horizontal even-keeled orchestration,1970-01-01,Veronicafort,True,ISRO,Manned
Compatible explicit product,1970-01-01,Lake Robin,True,ISRO,Manned
Team-oriented didactic Internet solution,1970-01-01,Swansonchester,True,ISRO,Unmanned
Profit-focused homogeneous adapter,1970-01-01,East Alisonland,True,ISRO,Unmanned
Grass-roots intermediate Graphic Interface,1970-01-01,Jonesmouth,True,ISRO,Unmanned
Versatile bi-directional contingency,1970-01-01,South Daveport,True,ISRO,Manned
Enterprise-wide multi-tasking process improvement,1970-01-01,Jenniferview,True,ISRO,Manned
Re-contextualized asymmetric solution,1970-01-01,East Adriennebury,True,ISRO,Manned
Reduced multimedia complexity,1970-01-01,Mataton,True,ISRO,Unmanned
Cross-platform client-server frame,1970-01-01,Burkemouth,True,ISRO,Unmanned
Organized responsive project,1970-01-01,Bellville,True,ISRO,Unmanned
Public-key leadingedge artificial intelligence,1970-01-01,Lake Gail,True,ISRO,Manned
Implemented content-based success,1970-01-01,Barnestown,True,ISRO,Unmanned
Assimilated tertiary adapter,1970-01-01,Port Carlos,True,ISRO,Unmanned
Versatile didactic budgetary management,1970-01-01,North Collinfurt,True,ISRO,Manned
Compatible optimal workforce,1970-01-01,Derrickview,True,ISRO,Unmanned
Compatible 6thgeneration implementation,1970-01-01,Matthewshire,True,ISRO,Unmanned
User-centric executive time-frame,1970-01-01,Martinezbury,True,ISRO,Manned
Re-contextualized systemic secured line,1970-01-01,Lake Victorside,True,ISRO,Manned
Face-to-face even-keeled matrix,1970-01-01,Bellhaven,True,ISRO,Unmanned
FalconSat,2006-03-24,Cape Canaveral LC-40,False,SpaceX,N/A
DemoSat,2007-03-21,Cape Canaveral LC-40,False,SpaceX,N/A
Trailblazer,2008-08-03,Cape Canaveral LC-40,False,SpaceX,N/A
RatSat,2008-09-28,Cape Canaveral LC-40,True,SpaceX,N/A
RazakSat,2009-07-13,Cape Canaveral LC-40,True,SpaceX,N/A
Falcon 9 Test Flight,2010-06-04,Vandenberg SLC-4E,True,SpaceX,N/A
COTS 1,2010-12-08,Vandenberg SLC-4E,True,SpaceX,N/A
COTS 2,2012-05-22,Vandenberg SLC-4E,True,SpaceX,N/A
CRS-1,2012-10-08,Vandenberg SLC-4E,True,SpaceX,N/A
CRS-2,2013-03-01,Vandenberg SLC-4E,True,SpaceX,N/A
CASSIOPE,2013-09-29,Starbase Boca Chica,True,SpaceX,N/A
SES-8,2013-12-03,Vandenberg SLC-4E,True,SpaceX,N/A
Thaicom 6,2014-01-06,Vandenberg SLC-4E,True,SpaceX,N/A
CRS-3,2014-04-18,Vandenberg SLC-4E,True,SpaceX,N/A
OG-2 Mission 1,2014-07-14,Vandenberg SLC-4E,True,SpaceX,N/A
AsiaSat 8,2014-08-05,Vandenberg SLC-4E,True,SpaceX,N/A
AsiaSat 6,2014-09-07,Vandenberg SLC-4E,True,SpaceX,N/A
CRS-4,2014-09-21,Vandenberg SLC-4E,True,SpaceX,N/A
CRS-5,2015-01-10,Vandenberg SLC-4E,True,SpaceX,N/A
DSCOVR,2015-02-11,Vandenberg SLC-4E,True,SpaceX,N/A
ABS-3A / Eutelsat 115W B,2015-03-02,Vandenberg SLC-4E,True,SpaceX,N/A
CRS-6,2015-04-14,Vandenberg SLC-4E,True,SpaceX,N/A
TürkmenÄlem 52°E / MonacoSAT,2015-04-27,Vandenberg SLC-4E,True,SpaceX,N/A
CRS-7,2015-06-28,Vandenberg SLC-4E,False,SpaceX,N/A
OG-2 Mission 2,2015-12-22,Vandenberg SLC-4E,True,SpaceX,N/A
Jason 3,2016-01-17,Starbase Boca Chica,True,SpaceX,N/A
SES-9,2016-03-04,Vandenberg SLC-4E,True,SpaceX,N/A
CRS-8,2016-04-08,Vandenberg SLC-4E,True,SpaceX,N/A
JCSAT-2B,2016-05-06,Vandenberg SLC-4E,True,SpaceX,N/A
Thaicom 8,2016-05-27,Vandenberg SLC-4E,True,SpaceX,N/A
ABS-2A / Eutelsat 117W B,2016-06-15,Vandenberg SLC-4E,True,SpaceX,N/A
CRS-9,2016-07-18,Vandenberg SLC-4E,True,SpaceX,N/A
JCSAT-16,2016-08-14,Vandenberg SLC-4E,True,SpaceX,N/A
Amos-6,2016-09-01,Vandenberg SLC-4E,False,SpaceX,N/A
Iridium NEXT Mission 1,2017-01-14,Starbase Boca Chica,True,SpaceX,N/A
CRS-10,2017-02-19,Unknown,True,SpaceX,N/A
EchoStar 23,2017-03-16,Unknown,True,SpaceX,N/A
SES-10,2017-03-30,Unknown,True,SpaceX,N/A
NROL-76,2017-05-01,Unknown,True,SpaceX,N/A
Inmarsat-5 F4,2017-05-15,Unknown,True,SpaceX,N/A
CRS-11,2017-06-03,Unknown,True,SpaceX,N/A
BulgariaSat-1,2017-06-23,Unknown,True,SpaceX,N/A
Iridium NEXT Mission 2,2017-06-25,Starbase Boca Chica,True,SpaceX,N/A
Intelsat 35e,2017-07-05,Unknown,True,SpaceX,N/A
CRS-12,2017-08-14,Unknown,True,SpaceX,N/A
FormoSat-5,2017-08-24,Starbase Boca Chica,True,SpaceX,N/A
Boeing X-37B OTV-5,2017-09-07,Unknown,True,SpaceX,N/A
Iridium NEXT Mission 3,2017-10-09,Starbase Boca Chica,True,SpaceX,N/A
SES-11 / Echostar 105,2017-10-11,Unknown,True,SpaceX,N/A
KoreaSat 5A,2017-10-30,Unknown,True,SpaceX,N/A
CRS-13,2017-12-15,Vandenberg SLC-4E,True,SpaceX,N/A
Iridium NEXT Mission 4,2017-12-23,Starbase Boca Chica,True,SpaceX,N/A
ZUMA,2018-01-08,Vandenberg SLC-4E,True,SpaceX,N/A
SES-16 / GovSat-1,2018-01-31,Vandenberg SLC-4E,True,SpaceX,N/A
Falcon Heavy Test Flight,2018-02-06,Unknown,True,SpaceX,N/A
Paz / Starlink Demo,2018-02-22,Starbase Boca Chica,True,SpaceX,N/A
Hispasat 30W-6,2018-03-06,Vandenberg SLC-4E,True,SpaceX,N/A
Iridium NEXT Mission 5,2018-03-30,Starbase Boca Chica,True,SpaceX,N/A
CRS-14,2018-04-02,Vandenberg SLC-4E,True,SpaceX,N/A
TESS,2018-04-18,Vandenberg SLC-4E,True,SpaceX,N/A
Bangabandhu-1,2018-05-11,Unknown,True,SpaceX,N/A
Iridium NEXT Mission 6,2018-05-22,Starbase Boca Chica,True,SpaceX,N/A
SES-12,2018-06-04,Vandenberg SLC-4E,True,SpaceX,N/A
CRS-15,2018-06-29,Vandenberg SLC-4E,True,SpaceX,N/A
